Stock,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,10/1/2002,16.23,20.26,16.01,19.36,19.36,203538600
AMZN,11/1/2002,19.22,24.50,18.20,23.35,23.35,206336300
AMZN,12/1/2002,24.15,25.00,18.43,18.89,18.89,155610600
AMZN,1/1/2003,19.19,23.28,18.55,21.85,21.85,169197200
AMZN,2/1/2003,21.94,22.50,19.61,22.01,22.01,115941900
AMZN,3/1/2003,22.15,28.04,21.36,26.03,26.03,164093600
AMZN,4/1/2003,25.55,29.19,24.13,28.69,28.69,219644300
AMZN,5/1/2003,28.68,36.09,28.15,35.89,35.89,190833800
AMZN,6/1/2003,36.50,37.24,32.83,36.32,36.32,171470800
AMZN,7/1/2003,36.33,43.10,34.00,41.64,41.64,229239500
AMZN,8/1/2003,41.41,46.95,38.28,46.32,46.32,150718900
AMZN,9/1/2003,46.52,51.30,44.73,48.43,48.43,202836400
AMZN,10/1/2003,48.37,61.15,47.51,54.43,54.43,288225300
AMZN,11/1/2003,54.80,57.49,47.67,53.97,53.97,181979000
AMZN,12/1/2003,54.40,54.94,47.00,52.62,52.62,193675200
AMZN,1/1/2004,52.76,57.82,48.60,50.40,50.40,217934700
AMZN,2/1/2004,50.65,50.65,42.23,43.01,43.01,185747700
AMZN,3/1/2004,43.02,45.06,39.15,43.28,43.28,154770500
AMZN,4/1/2004,43.45,49.10,43.30,43.60,43.60,162636600
AMZN,5/1/2004,43.48,48.68,40.55,48.50,48.50,150196500
AMZN,6/1/2004,47.87,54.70,47.70,54.40,54.40,161251200
AMZN,7/1/2004,53.80,54.04,37.38,38.92,38.92,202437000
AMZN,8/1/2004,38.45,40.83,34.85,38.14,38.14,180022400
AMZN,9/1/2004,38.23,44.28,37.36,40.86,40.86,176176900
AMZN,10/1/2004,41.29,42.70,33.00,34.13,34.13,208568400
AMZN,11/1/2004,34.22,41.50,34.15,39.68,39.68,168474900
AMZN,12/1/2004,40.00,45.68,37.99,44.29,44.29,176014800
AMZN,1/1/2005,44.95,45.44,40.26,43.22,43.22,194935200
AMZN,2/1/2005,43.00,43.54,33.20,35.18,35.18,218655100
AMZN,3/1/2005,35.06,36.43,32.82,34.27,34.27,119566600
AMZN,4/1/2005,34.63,35.34,30.60,32.36,32.36,162491300
AMZN,5/1/2005,32.30,36.04,32.10,35.51,35.51,116947800
AMZN,6/1/2005,35.57,36.99,32.93,33.09,33.09,106233600
AMZN,7/1/2005,33.24,45.81,32.79,45.15,45.15,182601100
AMZN,8/1/2005,44.88,46.97,41.91,42.70,42.70,114751100
AMZN,9/1/2005,42.52,45.84,40.50,45.30,45.30,104700400
AMZN,10/1/2005,45.33,47.00,38.72,39.86,39.86,146980100
AMZN,11/1/2005,39.97,49.43,39.65,48.46,48.46,216455300
AMZN,12/1/2005,48.88,50.00,47.14,47.15,47.15,121167800
AMZN,1/1/2006,47.47,48.58,43.10,44.82,44.82,123410300
AMZN,2/1/2006,43.92,44.69,37.05,37.44,37.44,165544700
AMZN,3/1/2006,37.45,37.83,35.14,36.53,36.53,122178100
AMZN,4/1/2006,36.67,38.84,35.01,35.21,35.21,106758600
AMZN,5/1/2006,35.19,36.50,31.52,34.61,34.61,146896000
AMZN,6/1/2006,34.63,38.84,32.42,38.68,38.68,115117400
AMZN,7/1/2006,38.52,38.62,25.96,26.89,26.89,228663400
AMZN,8/1/2006,26.55,30.99,25.76,30.83,30.83,159186800
AMZN,9/1/2006,30.85,32.81,29.68,32.12,32.12,146018700
AMZN,10/1/2006,31.98,38.59,30.58,38.09,38.09,209485000
AMZN,11/1/2006,38.13,43.25,36.87,40.34,40.34,146802400
AMZN,12/1/2006,40.26,40.64,37.70,39.46,39.46,121040700
AMZN,1/1/2007,38.68,39.14,36.30,37.67,37.67,130435300
AMZN,2/1/2007,37.95,42.00,36.68,39.14,39.14,157975400
AMZN,3/1/2007,39.32,40.24,37.04,39.79,39.79,142153100
AMZN,4/1/2007,39.85,63.84,39.55,61.33,61.33,346287000
AMZN,5/1/2007,61.12,73.31,59.70,69.14,69.14,330242400
AMZN,6/1/2007,68.90,74.72,66.71,68.41,68.41,238788700
AMZN,7/1/2007,68.81,89.00,68.01,78.54,78.54,264827800
AMZN,8/1/2007,78.10,80.80,70.05,79.91,79.91,175514000
AMZN,9/1/2007,79.90,94.26,79.73,93.15,93.15,122273200
AMZN,10/1/2007,93.42,101.09,83.27,89.15,89.15,231988500
AMZN,11/1/2007,87.75,91.47,76.50,90.56,90.56,180196500
AMZN,12/1/2007,90.03,95.94,83.86,92.64,92.64,127062200
AMZN,1/1/2008,95.35,97.43,68.84,77.70,77.70,288335400
AMZN,2/1/2008,79.02,79.40,63.97,64.47,64.47,211217800
